Document Name,Original Issue Date,Date Added to this List,Identifier,Topics,Description/Summary,URL
American Iron and Steel (AIS) Requirement Q&A Part 1: Valves and Hydrants,2014-05-30,2020-02-28,OW-OGWDW-141,DWSRF,and set forth administration priorities.,https://www.epa.gov/cwsrf/state-revolving-fund-american-iron-and-steel-ais-requirement
"American Iron and Steel (AIS) Requirement Q&A Part 2: Products, Projects, and Process",2014-09-10,2020-02-28,OW-OGWDW-142,DWSRF,DWSRF; AIS,https://www.epa.gov/cwsrf/state-revolving-fund-american-iron-and-steel-ais-requirement
"American Iron and Steel (AIS) Requirement Q&A Part 3: Plans and Specifications, Refinancing, and Coatings",2015-03-16,2020-02-28,OW-OGWDW-143,DWSRF,DWSRF; AIS,https://www.epa.gov/cwsrf/state-revolving-fund-american-iron-and-steel-ais-requirement
"Application of AIS Requirements to FY 2016 DWSRF under the Consolidated Appropriations Act, 2016",2016-02-03,2020-02-28,OW-OGWDW-198,DWSRF,DWSRF; AIS,https://www.epa.gov/cwsrf/state-revolving-fund-american-iron-and-steel-ais-requirement
Application of American Iron and Steel Requirements for Drinking Water State Revolving Fund Projects for Fiscal Year 2018,2018-05-11,2020-02-28,OW-OGWDW-199,DWSRF,AIS provision is still a requirement for DWSRF projects,https://www.epa.gov/cwsrf/state-revolving-fund-american-iron-and-steel-ais-requirement
"Interpretative Guidance for Certain Amendments in the Water Resources Reform and Development Act to Titles I, II, V, and VI of the Federal Water Pollution Control Act",2015-01-06,2020-02-28,OW-OWM-1394,CWSRF,"Interpretative Guidance for Certain Amendments in the Water Resources Reform and Development Act to Titles I, II, V, and VI of the Federal Water Pollution Control Act",https://www.epa.gov/cwsrf/water-resources-reform-and-development-act-wrrda-guidance-clean-water-state-revolving-fund
Tools for Waterbody Managers to Monitor for and Respond to CyanoHABs,2017-07-01,2020-02-28,OW-OST-2015,HABs,Recreational Water Communication Toolbox for Cyanobacterial Blooms,https://www.epa.gov/cyanohabs/communicating-about-cyanobacterial-blooms-and-toxins-recreational-waters
Asset Management: A Handbook for Small Water Systems – STEP Guide Series ,2003-09-01,2020-02-28,OW-OGWDW-227,Drinking Water Asset Management,Asset Management: A Handbook for Small Water Systems – STEP Guide Series ,https://www.epa.gov/dwcapacity/asset-management-resources-states-and-small-drinking-water-systems
Handbook for Capacity Development:  Developing Water System Capacity Under the Safe Drinking Water Act as Amended in 1996,1999-07-09,2020-02-28,OW-OGWDW-1078,PWS,Handbook for Capacity Development:  Developing Water System Capacity Under the Safe Drinking Water Act as Amended in 1996,https://www.epa.gov/dwcapacity/capacity-building-program-management-drinking-water-systems
Lead Testing in School and Child Care Program Drinking Water Grant Program ,2019-06-01,2020-02-28,OW-OGWDW-2816,Lead Testing in School Grants,These documents describe how the Agency intends to award funding. States and tribes will use this funding to assist local and tribal educational agencies in testing for lead contamination in drinking ,https://www.epa.gov/dwcapacity/implementation-documents-lead-testing-schools-child-care-facilities-drinking-water-grant
Tribal Lead Testing in School and Child Care Program Grants (letter to tribal consortia),,2020-11-13,OW-OGWDW-2969,Grants,Grant to tribal consortia to support programs testing for lead in drinking water in tribal schools and child care facilities,https://www.epa.gov/dwcapacity/letter-tribal-consortia-lead-testing-school-and-child-care
Electronic Preventive Maintenance Logs,2018-03-01,2020-02-28,OW-OGWDW-682,Workforce,A resource for small system operators to maintain current and accurate records of their operations and maintenance activities.  ,https://www.epa.gov/dwcapacity/resources-small-public-water-system-operators
Small Systems Guide to Safe Drinking Water Act Regulations - The First STEP to Providing Safe and  Reliable Drinking Water,2003-09-01,2020-02-28,OW-OGWDW-2137,Drinking Water,Small Systems Guide to Safe Drinking Water Act Regulations - The First STEP to Providing Safe and  Reliable Drinking Water,https://www.epa.gov/dwcapacity/small-systems-guide-safe-drinking-water-act-regulations
Successfully Protecting Your Investment in Drinking Water Infrastructure: Best Practices from Communities and Local Experts,2017-05-01,2020-02-28,OW-OGWDW-2386,Drinking Water Asset Management,The purpose of this document is to highlight some of the benefits of planning and maintenance of infrastructure through asset management. ,https://www.epa.gov/dwcapacity/successfully-protecting-your-investment-drinking-water-infrastructure-0 
FY 2020 Training and Technical Assistance to Improve Water Quality and Enable Small Public Water Systems to Provide Safe Drinking Water (RFA release),,2020-11-13,OW-OGWDW-2972,Grants,Grant to non-profit technical assistance providers to help small drinking water and wastewater systems and private well owners,https://www.epa.gov/dwcapacity/training-and-technical-assistance-small-systems-funding
Management of Set-asides for the DWSRF Program,1999-02-09,2020-02-28,OW-OGWDW-1472,DWSRF,DWSRF; set-asides,https://www.epa.gov/dwcapacity/use-drinking-water-state-revolving-fund-dwsrf-set-asides
Using DWSRF Set-Aside Funds for Source Water Protection,2018-08-01,2020-02-28,OW-OGWDW-2651,DWSRF,DWSRF and source water protection,https://www.epa.gov/dwcapacity/use-drinking-water-state-revolving-fund-dwsrf-set-asides
Using DWSRF Set-Aside Funds to Assist Small Water Systems,2018-08-01,2020-02-28,OW-OGWDW-2652,DWSRF,DWSRF and small system assistance,https://www.epa.gov/dwcapacity/use-drinking-water-state-revolving-fund-dwsrf-set-asides
Water Operator Hiring and Contracting Guide,2020-03-01,2020-06-27,OW-OGWDW-2885,"Operator Certification, Capacity Development",A resource to help public water systems hire or contract  water operators,https://www.epa.gov/dwcapacity/water-operator-hiring-and-contracting-guide
Water System Partnerships Handbook,2020-03-01,2020-06-27,OW-OGWDW-2889,"SDWA, Capacity Development, Partnerships","Water System Partnerships Handbook, How to Support Water System Partnerships.",https://www.epa.gov/dwcapacity/water-system-partnerships
Waters Infrastructure Improvements for the Nation (WIIN) 2017 –  Assistance for Small and Disadvantaged Communities Tribal Drinking Water Grant Program,2019-11-26,2020-02-28,OW-OGWDW-2821,WIIN 2017 Small and Disadvantaged Communities Tribal Drinking Water Grants,The purpose of this implementation document is to provide tribes with the information to apply for grant funding.,https://www.epa.gov/dwcapacity/wiin-grant-assistance-small-and-disadvantaged-communities-drinking-water-grant
Reducing Lead Exposure Via Drinking Water (WIIN grant RFA release),,2020-11-13,OW-OGWDW-2967,Grants,"AA approval
Grant for LSLR replacement, corrosion control treatment, and school remediation of lead in DW","https://www.epa.gov/dwcapacity/wiin-grant-reduction-lead-exposure-drinking-water#:~:text=On%20October%2023%2C%202020%2C%20EPA,the%20Nation%20(WIIN)%20Act."
Cryptosporidium Laboratories Acceptable for Monitoring to Comply with the Long Term 2 Enhanced Surface Water Treatment Rule,2018-05-11,2020-02-28,OW-OGWDW-482,LT2,"Supports LT2 implementation, making list of certified  laboratories available to all interested stakeholders ",https://www.epa.gov/dwlabcert/cryptosporidium-laboratories-acceptable-monitoring-comply-long-term-2-enhanced-surface
"Clarification of Free and Total Cyanide Analysis for Safe Drinking Water Act (SDWA) Compliance, Revision 1.0",2020-04-15,2020-06-27,OW-OGWDW-2891,Drinking Water Laboratory Certification,Update to the clarification document for laboratories detailing and citing regulatory approved methods for free and total cyanide.   URL will be established once document is cleared for publication.  ,https://www.epa.gov/dwlabcert/laboratory-certification-manual-drinking-water
Manual for the Certification of Laboratories Analyzing Drinking Water ,2005-01-15,2020-02-28,OW-OGWDW-1477,Drinking Water Laboratory Certification,Manual for the Certification of Laboratories Analyzing Drinking Water ,https://www.epa.gov/dwlabcert/laboratory-certification-manual-drinking-water
Supplement 1 to the Fifth Edition of the Manual for the Certification of Laboratories Analyzing Drinking Water,2008-06-01,2020-02-28,OW-OGWDW-2401,Final,Certification of Laboratories Analyzing Drinking Water,https://www.epa.gov/dwlabcert/laboratory-certification-manual-drinking-water
Supplement 2 to the Fifth Edition of the Manual for the Certification of Laboratories Analyzing Drinking Water,2012-11-01,2020-02-28,OW-OGWDW-2403,Drinking Water,"This document describes implementation procedures, laboratory procedures, and technical criteria for laboratories that analyze drinking water samples for rule compliance.",https://www.epa.gov/dwlabcert/laboratory-certification-manual-drinking-water
Granular Activated Carbon (GAC) ,2014-05-01,2020-02-28,OW-OGWDW-940,Drinking Water ,This document provides information on the GAC treatment technology.,https://www.epa.gov/dwregdev/drinking-water-treatment-technology-unit-cost-models-and-overview-technologies
Multi-Stage Bubble Aeration (MSBA) ,2014-05-01,2020-02-28,OW-OGWDW-1638,Drinking Water ,This document provides information on the MSBA treatment technology.,https://www.epa.gov/dwregdev/drinking-water-treatment-technology-unit-cost-models-and-overview-technologies
WBS-Based Cost Model for Packed Tower Aeration Drinking Water Treatment,2017-12-01,2020-02-28,OW-OGWDW-1795,Drinking Water ,This document provides information on the Packed Tower Aeration (PTA) treatment technology.,https://www.epa.gov/dwregdev/drinking-water-treatment-technology-unit-cost-models-and-overview-technologies
Final Implementation Guidance for Radionuclides,2002-03-01,2020-02-28,OW-OGWDW-867,Drinking Water,Final Implementation Guidance for Radionuclides,https://www.epa.gov/dwreginfo/final-implementation-guidance-radionuclides
Five Year Self-Inspection Requirements under the Aircraft Drinking Water Rule ,2017-04-18,2020-02-28,OW-OGWDW-880,ADWR,Provides clarification on the Aircraft Drinking Water Rule (ADWR) requirements for five year self-inspections and related violations for failing to complete these requirements.,https://www.epa.gov/dwreginfo/five-year-self-inspection-requirements-under-aircraft-drinking-water-rule
The Ground Water Rule Implementation Guidance,2009-01-01,2020-02-28,OW-OGWDW-2485,Drinking Water,The Ground Water Rule Implementation Guidance,https://www.epa.gov/dwreginfo/ground-water-rule-compliance-help-primacy-agencies#gwri
Consecutive System Guide for the Ground Water Rule (GWR) - Revised,2010-08-01,2020-02-28,OW-OGWDW-446,Drinking Water,This manual is to provide technical assistance on the GWR for states and systems.,https://www.epa.gov/dwreginfo/ground-water-rule-compliance-help-water-system-owners-and-operators
Disinfection Profiling and Benchmarking – Technical Guidance Manual,2020-05-30,2020-06-27,OW-OGWDW-2896,Drinking Water Implementation,Explain disinfection profiling and benchmarking requirements including when/why and how the results of the process may be used to make disinfection practice decisions.,https://www.epa.gov/dwreginfo/guidance-manuals-surface-water-treatment-rules
Guidance Manual for Compliance with the Surface Water Treatment Rules: Turbidity Provisions,2020-05-30,2020-06-27,OW-OGWDW-2897,Drinking Water Implementation,Provide guidance to PWS complying with the turbidity provisions found the SWTRs.,https://www.epa.gov/dwreginfo/guidance-manuals-surface-water-treatment-rules
Surface Water Treatment Rules -What Do They Mean to You?,2020-05-30,2020-06-27,OW-OGWDW-2894,Drinking Water Implementation,"Provide an overview of the regulatory requirements of the SWTR, IESWTR, LT1ESWTR, and LT2ESWTR. The document is written in plain English targeting regulators and operators.",https://www.epa.gov/dwreginfo/interim-enhanced-surface-water-treatment-rule-documents
Implementing the Lead Public Education Provisions of the Lead and Copper Rule: A Guide for Non-Transient Non-Community Water Systems,2008-06-01,2020-02-28,OW-OGWDW-1280,Drinking Water ,Implementing the Lead Public Education Provisions of the Lead and Copper Rule: A Guide for Non-Transient Non-Community Water Systems,https://www.epa.gov/dwreginfo/lead-and-copper-rule-implementation-tools
Tier 1 Public Notice for Lead Action Level Exceedances Template SOP for State Implementation Programs,2024-10-15,2025-07-16,OW-OGWDW-3029,Lead,"The Tier 1 SOP Template for States provides guidance and support for states in developing their SOPs for the Tier 1 public notification process for a lead action level exceedance. Additionally, it provides guidance in the event that the water systems and states fail to provide 24-hour notice of a lead action level exceedance.  ","https://www.epa.gov/dwreginfo/lead-and-copper-rule-implementation-tools#:~:text=15/2024%2C%20816F24021)-,Tier%201%20Public%20Notice%20for%20Lead%20Action%20Level%20Exceedances%C2%A0Template%20SOP%20for%20State%20Implementation%20Programs,-The%20Tier%201"
LCRR Frequently Asked Questions,2024-04-11,2025-07-16,OW-OGWDW-3022,Lead,"These Frequently Asked Questions (FAQs) address the provisions of the 2021 Lead and Copper Rule Revisions (LCRR) with an October 16, 2024 compliance date. ",https://www.epa.gov/dwreginfo/lead-and-copper-rule-implementation-tools#LCRR_FAQs
Fact Sheet on Notification of a Known or Potential Service Line Containing Lead,2024-07-18,2025-07-16,OW-OGWDW-3023,Lead,This fact sheet summarizes the EPA's requirements for notification to persons served of known or potential service lines containing lead required under the 2021 Lead and Copper Rule Revisions.  ,https://www.epa.gov/dwreginfo/lead-and-copper-rule-implementation-tools#NOTIF_LSL
Templates for the Notification of Known or Potential Service Lines Containing Lead,2024-07-18,2025-07-16,OW-OGWDW-3024,Lead,"Water systems can use these templates to develop the required notices to all persons served at the service connection with a lead, galvanized requiring replacement (GRR), or lead status unknown service lines, required under the 2021 Lead and Copper Rule Revisions.   ",https://www.epa.gov/dwreginfo/lead-and-copper-rule-implementation-tools#NOTIF_LSL
Implementing the Lead Public Education Provisions of the Lead and Copper Rule: A Guide for Community Water Systems Guidance,2008-06-01,2020-02-28,OW-OGWDW-1279,Drinking Water ,Implementing the Lead Public Education Provisions of the Lead and Copper Rule: A Guide for Community Water Systems Guidance,https://www.epa.gov/dwreginfo/lead-and-copper-rule-implementation-tools#PE
State Implementation Guidance for Lead and Copper Rule Revisions (LCRR) Retained Elements,2024-10-15,2025-07-16,OW-OGWDW-3028,Lead,"This document provides a ""how to"" approach for EPA Regions and States implementing the 2021 LCRR requirements with an October 16, 2024 compliance deadline. ",https://www.epa.gov/dwreginfo/lead-and-copper-rule-implementation-tools#SIG
Tier 2 and Tier 3 Public Notification Templates,2025-01-17,2025-07-16,OW-OGWDW-3027,Lead,"EPA's Tier 2 and Tier 3 Public Notification (PN) templates support water systems to provide notice in the event that a violation occurs  requiring a Tier 2 or Tier 3 PN. These include the following violations: (1) failure to develop initial inventory for service line materials and/or make publicly accessible, (2) failure to report initial inventory to the state, and (3) failure to certify notification to consumers served by known or potential service line containing lead. ",https://www.epa.gov/dwreginfo/lead-and-copper-rule-implementation-tools#T2T3
Lead Action Level Exceedance (ALE) Tier 1 Public Notice (PN) Fact Sheet,2024-04-11,2025-07-16,OW-OGWDW-3026,Lead,"This fact sheet summarizes EPA’s requirements following a lead action level exceedance for timing, content, and delivery of a Tier 1 Public Notice.",https://www.epa.gov/dwreginfo/lead-and-copper-rule-implementation-tools#TIER_1
Tier 1 Public Notification Templates following a Lead Action Level Exceedance,2024-04-11,2025-07-16,OW-OGWDW-3025,Lead,The 2021 Lead and Copper Rule Revisions require water systems to issue a Tier 1 Public Notification (PN) when there is an exceedance of the lead action level no later than 24 hours after the systems learns of an exceedance. Water systems can use these templates to develop a Tier 1 PN for a lead action level exceedance.   ,https://www.epa.gov/dwreginfo/lead-and-copper-rule-implementation-tools#TIER_1
Long Term 1 Enhanced Surface Water Treatment Rule (LT1ESWTR) Implementation Turbidity Provisions - Technical Guidance Manual,2004-08-01,2020-02-28,OW-OGWDW-1458,Drinking Water ,Long Term 1 Enhanced Surface Water Treatment Rule (LT1ESWTR) Implementation Turbidity Provisions - Technical Guidance Manual,https://www.epa.gov/dwreginfo/long-term-1-enhanced-surface-water-treatment-rule-documents
"Systems Serving Less Than 10,000 People Using Slow Sand, Diatomaceous Earth, or Alternative Filtration  2008",2008-01-01,2020-02-28,OW-OGWDW-2416,Drinking Water,"Systems Serving Less Than 10,000 People Using Slow Sand, Diatomaceous Earth, or Alternative Filtration  2008",https://www.epa.gov/dwreginfo/long-term-1-enhanced-surface-water-treatment-rule-documents
The Long Term 1 Enhanced Surface Water Treatment Rule (LT1ESWTR) Guidance Documents ,2004-08-01,2020-02-28,OW-OGWDW-2487,Drinking Water,The Long Term 1 Enhanced Surface Water Treatment Rule (LT1ESWTR) Guidance ,https://www.epa.gov/dwreginfo/long-term-1-enhanced-surface-water-treatment-rule-documents
Complying with the Long Term 2 Enhanced Surface Water Treatment Rule: Small Entity Compliance Guide (Revised April 2009),2009-04-01,2020-02-28,OW-OGWDW-428,Drinking Water,Complying with the Long Term 2 Enhanced Surface Water Treatment Rule: Small Entity Compliance Guide (Revised April 2009),https://www.epa.gov/dwreginfo/long-term-2-enhanced-surface-water-treatment-rule-documents
Long Term 2 Enhanced Surface Water Treatment Rule Documents,2010-04-01,2020-02-28,OW-OGWDW-272,Drinking Water ,Guidance documents for Long Term 2 Enhanced Surface Water Treatment Rule,https://www.epa.gov/dwreginfo/long-term-2-enhanced-surface-water-treatment-rule-documents
Long Term 2 Enhanced Surface Water Treatment Rule: Toolbox Guidance Manual for the Final Long Term 2 Enhanced Surface Water Treatment Rule,2003-06-01,2020-02-28,OW-OGWDW-1459,Drinking Water ,Long Term 2 Enhanced Surface Water Treatment Rule: Toolbox Guidance Manual for the Final Long Term 2 Enhanced Surface Water Treatment Rule,https://www.epa.gov/dwreginfo/long-term-2-enhanced-surface-water-treatment-rule-documents
OGWDW Review of Small System Monitoring Requirements Under the Long Term 2 Enhanced Surface Water Treatment Rule,2016-11-02,2020-02-28,OW-OGWDW-1775,Drinking Water ,OGWDW Review of Small System Monitoring Requirements Under the Long Term 2 Enhanced Surface Water Treatment Rule,https://www.epa.gov/dwreginfo/long-term-2-enhanced-surface-water-treatment-rule-documents
Simultaneous Compliance Guidance Manual for Long Term 2 Enhanced Surface Water Treatment Rule and the Stage 2 Rule,2007-03-01,2020-02-28,OW-OGWDW-2123,Drinking Water ,Simultaneous Compliance Guidance Manual for Long Term 2 Enhanced Surface Water Treatment Rule and the Stage 2 Rule,https://www.epa.gov/dwreginfo/long-term-2-enhanced-surface-water-treatment-rule-documents
Source Water Monitoring Guidance Manual for Public Water Systems for the Final Long Term 2 Enhanced Surface Water Treatment Rule,2006-02-01,2020-02-28,OW-OGWDW-2150,Drinking Water ,Source Water Monitoring Guidance Manual for Public Water Systems for the Final Long Term 2 Enhanced Surface Water Treatment Rule,https://www.epa.gov/dwreginfo/long-term-2-enhanced-surface-water-treatment-rule-documents
Public Notification Handbook for Transient Non-Community Water Systems,2010-03-01,2020-02-28,OW-OGWDW-1977,Drinking Water ,Public Notification Handbook for Transient Non-Community Water Systems ,https://www.epa.gov/dwreginfo/public-notification-templates-community-and-non-transient-non-community-water-systems
Emergency Action And Planning,2018-03-17,2020-02-28,OW-OGWDW-1954,PWSS Oversight,Provides step by step instructions for Regions conducting reviews/audits of state PWSS Program.,https://www.epa.gov/dwreginfo/public-water-system-supervision-program-water-supply-guidance-manual
Guidance For Water Suppliers ,,2020-02-28,OW-OGWDW-993,PWS,Public Water System Supervision Program Water Supply Guidance Manual,https://www.epa.gov/dwreginfo/public-water-system-supervision-program-water-supply-guidance-manual
Implementation of PWSS-Related Amendments in AWIA of 2018,2019-05-24,2020-02-28,OW-OGWDW-2868,Drinking Water SRF changes due to AWIA,Memorandum assisting the EPA and states in implementing PWSS-related changes enacted through the AWIA of 2018.,https://www.epa.gov/dwreginfo/public-water-system-supervision-program-water-supply-guidance-manual
Public Water System Supervision Program Water Supply Guidance Manual,2019-11-01,2020-02-28,OW-OGWDW-1981,Drinking Water,Public Water System Supervision Program Water Supply Guidance Manual,https://www.epa.gov/dwreginfo/public-water-system-supervision-program-water-supply-guidance-manual
Sampling for NTNCW PWSs under the LCR   ,2005-06-01,2020-02-28,OW-OGWDW-2087,Drinking Water,Sampling for NTNCW PWSs under the LCR   ,https://www.epa.gov/dwreginfo/public-water-system-supervision-program-water-supply-guidance-manual
SDWIS/FED Data Entry Instructions   ,2003-04-01,2020-02-28,OW-OGWDW-2098,Drinking Water,SDWIS/FED Data Entry Instructions   ,https://www.epa.gov/dwreginfo/public-water-system-supervision-program-water-supply-guidance-manual
Water Supply Guidance #219: Lead ALE Tier 1 Memo,2024-04-11,2025-07-16,OW-OGWDW-3030,Lead,"This memorandum encourages Public Water System Supervision primacy agencies to consider their
existing authorities to work with water systems to start implementing public notification within 24 hours
of lead action level exceedances in advance of the October 16, 2024, Lead and Copper Rule Revisions
(LCRR) compliance date. ",https://www.epa.gov/dwreginfo/public-water-system-supervision-program-water-supply-guidance-manual
A Small Systems Guide to the Total Coliform Rule ,2001-06-01,2020-02-28,OW-OGWDW-71,RTCR,A Small Systems Guide to the Total Coliform Rule ,https://www.epa.gov/dwreginfo/revised-total-coliform-rule-guide-small-public-water-systems
Stage 2 Disinfectants and Disinfection Byproducts Rule Consecutive Systems Guidance Manual,2010-03-01,2020-02-28,OW-OGWDW-2165,Drinking Water ,Stage 2 Consecutive Systems Guidance Manual for the Stage 2 DBPR,https://www.epa.gov/dwreginfo/stage-1-and-stage-2-compliance-help-community-water-system-owners-and-operators
Complying With the Stage 1 Disinfectants and Disinfection Byproducts Rule: Basic Guide ,2006-03-01,2020-02-28,OW-OGWDW-431,Drinking Water ,Complying With the Stage 1 Disinfectants and Disinfection Byproducts Rule: Basic Guide ,https://www.epa.gov/dwreginfo/stage-1-and-stage-2-compliance-help-community-water-system-owners-and-operators#stg2
Complying with the Stage 2 Disinfectants and Disinfection Byproducts Rule: Small Entity Compliance Guide,2007-02-01,2020-02-28,OW-OGWDW-432,Drinking Water ,Complying with the Stage 2 Disinfectants and Disinfection Byproducts Rule: Small Entity Compliance Guide,https://www.epa.gov/dwreginfo/stage-1-and-stage-2-compliance-help-community-water-system-owners-and-operators#stg2
Disinfectants and Disinfection Byproducts Rules (Stage 1 and Stage 2) What Do They Mean to You?,2020-05-30,2020-06-27,OW-OGWDW-2893,Drinking Water Implementation,Provide an overview of the regulatory requirements of the Stage 1&2 DBPRs. The document is written in plain English targeting regulators and operators.,https://www.epa.gov/dwreginfo/stage-1-and-stage-2-disinfectants-and-disinfection-byproducts-rules
"Initial Distribution System Evaluation [IDSE] Guide for Systems Serving <10,000 for Final Stage 2 Disinfectants and Disinfection Byproducts Rule and the Initial Distribution System Evaluation Guidance Manual for Final Stage 2 Disinfectants and Disinfection Byproducts. ",2006-01-01,2020-02-28,OW-OGWDW-1345,Drinking Water,"Initial Distribution System Evaluation [IDSE] Guide for Systems Serving <10,000 for Final Stage 2 Disinfectants and Disinfection Byproducts Rule and the Initial Distribution System Evaluation Guidance Manual for Final Stage 2 Disinfectants and Disinfection Byproducts. ",https://www.epa.gov/dwreginfo/stage-1-and-stage-2-disinfectants-and-disinfection-byproducts-rules
The Stage 2 Disinfectants and Disinfection Byproducts Rule (Stage 2 DBPR) Quick Reference Guides,2007-08-01,2020-02-28,OW-OGWDW-2493,Drinking Water ,The Stage 2 Disinfectants and Disinfection Byproducts Rule (Stage 2 DBPR) Quick Reference Guides,https://www.epa.gov/dwreginfo/stage-1-and-stage-2-disinfectants-and-disinfection-byproducts-rules
State Implementation Guidance for the Lead and Copper Rule Minor Revisions   ,2001-10-01,2020-02-28,OW-OGWDW-2177,Drinking Water,State Implementation Guidance for the Lead and Copper Rule Minor Revisions   ,https://www.epa.gov/dwreginfo/state-implementation-guidance-lead-and-copper-rule-minor-revisions-appendices
Revised Total Coliform Rule State Implementation Guidance Manual,2020-05-30,2020-06-27,OW-OGWDW-2898,Drinking Water Implementation,"Provide guidance to State, Tribal, and EPA Regional Programs exercising primary enforcement responsibility implanting the Revised Total Coliform Rule.",https://www.epa.gov/dwreginfo/total-coliform-rule-compliance-help-primacy-agencies
Six-Year Review of Drinking Water Standards (Health Assessments),2016-12-01,2020-02-28,OW-OST-2127,Health Advisory,Six-Year Review of Drinking Water Standards (Health Assessments),https://www.epa.gov/dwsixyearreview/six-year-review-3-drinking-water-standards
Addressing DBPs in drinking Water with the DWSRF – Fact Sheet,2019-07-17,2020-02-28,OW-OGWDW-2808,Drinking Water SRF for disinfection byproducts (DBPs),This fact sheet describes DWSRF eligibilities related disinfection byproducts (DBPs). It provides several case studies where DWSRF funds were used for DBP-related activities.,https://www.epa.gov/dwsrf/addressing-dbps-drinking-water-dwsrf
Clarification of DWSRF Eligibility of Service Line Replacement on Private Property,2016-05-09,2020-02-28,OW-OGWDW-362,DWSRF,DWSRF; eligibility; service lines,https://www.epa.gov/dwsrf/clarification-drinking-water-state-revolving-fund-eligibility-service-line-replacement-private
Managing and Leveraging Data with the DWSRF – Fact Sheet,2019-10-23,2020-02-28,OW-OGWDW-2813,Drinking Water SRF data activities,This fact sheet describes DWSRF eligibilities related to data management. It provides several case studies where DWSRF funds were used for data-related activities.,https://www.epa.gov/dwsrf/managing-and-leveraging-data-dwsrf
Applicability of EPA Quality Assurance Requirements to CW and DWSRF Grants,2002-01-15,2020-02-28,OW-OGWDW-187,DWSRF,DWSRF; quality assurance; grants,https://www.epa.gov/dwsrf/program-policy-and-guidance-drinking-water-state-revolving-fund-program
Application of Minority and Women-Owned Business Enterprise Requirements in the Clean Water and Drinking Water State Revolving Fund Programs,1998-11-05,2020-02-28,OW-OGWDW-205,DWSRF,DWSRF; MBE; WBE,https://www.epa.gov/dwsrf/program-policy-and-guidance-drinking-water-state-revolving-fund-program
Cost Review Requirement for DWSRF Set-asides,2004-08-31,2020-02-28,OW-OGWDW-471,DWSRF,DWSRF; cost review,https://www.epa.gov/dwsrf/program-policy-and-guidance-drinking-water-state-revolving-fund-program
Cross-Cutting Federal Authorities: A Handbook on their Application in the CW and DWSRF Programs,2003-10-01,2020-02-28,OW-OGWDW-481,DWSRF,DWSRF; federal cross cutters,https://www.epa.gov/dwsrf/program-policy-and-guidance-drinking-water-state-revolving-fund-program
"DWSRF Program Guidance on ULO Reduction Applying Project Readiness to Proceed, and Data Completeness for Project and Benefits Reporting",2014-04-14,2020-02-28,OW-OGWDW-658,DWSRF,This memorandum presents a national strategy to reduce unliquidated obligations (ULO) under the Drinking Water State Revolving Fund (DWSRF). DW,https://www.epa.gov/dwsrf/program-policy-and-guidance-drinking-water-state-revolving-fund-program
DWSRF: Program Operations Manual,2006-10-01,2020-02-28,OW-OGWDW-668,DWSRF,DWSRF; program operations,https://www.epa.gov/dwsrf/program-policy-and-guidance-drinking-water-state-revolving-fund-program
DWSRF; capacity development; set-asides,2003-09-04,2020-02-28,OW-OGWDW-669,DWSRF,DWSRF; capacity development; set-asides,https://www.epa.gov/dwsrf/program-policy-and-guidance-drinking-water-state-revolving-fund-program
Implementation of DWSRF Financial Indicators,2003-02-25,2020-02-28,OW-OGWDW-1265,DWSRF,DWSRF; financial indicators,https://www.epa.gov/dwsrf/program-policy-and-guidance-drinking-water-state-revolving-fund-program
SRF Annual Review Guidance,2015-12-11,2020-02-28,OW-OGWDW-2157,DWSRF,Guidance for the Drinking Water State Revolving Fund Program,https://www.epa.gov/dwsrf/program-policy-and-guidance-drinking-water-state-revolving-fund-program
Protecting Source Water with the DWSRF Set-Asides – Fact Sheet,2019-10-23,2020-02-28,OW-OGWDW-2875,Drinking Water SRF source water protection,This fact sheet describes DWSRF eligibilities related to source water protection (SWP). It provides several case studies where DWSRF set-asides were used for SWP-related activities,https://www.epa.gov/dwsrf/protecting-source-water-dwsrf-set-asides
Tracking and Reporting Requirements of the ARRA for the SRF Programs,2009-07-01,2020-02-28,OW-OGWDW-2525,ARRA,Overview of ARRA tracking and reporting requirements for SRF,https://www.epa.gov/dwsrf/reports-and-fact-sheets-about-drinking-water-state-revolving-fund-dwsrf
Supporting Cybersecurity Measures with the DWSRF – Fact Sheet,2019-10-23,2020-02-28,OW-OGWDW-2873,Drinking Water SRF for cybersecurity,This fact sheet describes DWSRF eligibilities related to cybersecurity.,https://www.epa.gov/dwsrf/supporting-cybersecurity-measures-dwsrf
UCMR 5 Data Summary,2023-08-23,2025-07-14,OW-OGWDW-3031,UCMR,Provides a summary of the UCMR 5 monitoring results,https://www.epa.gov/dwucmr/data-summary-fifth-unregulated-contaminant-monitoring-rule
Assessment Monitoring for UCMR 4,2016-12-15,2020-02-28,OW-OGWDW-226,UCMR,UCMR4 Fact sheet clarifying monitoring requirements. ,https://www.epa.gov/dwucmr/fact-sheets-about-fourth-unregulated-contaminant-monitoring-rule-ucmr-4
Cyanotoxin Assessment Monitoring for UCMR 4,2016-12-01,2020-02-28,OW-OGWDW-495,UCMR,UCMR4 Fact sheet clarifying algal toxin (cyanotoxin) monitoring requirements. ,https://www.epa.gov/dwucmr/fact-sheets-about-fourth-unregulated-contaminant-monitoring-rule-ucmr-4
